0V6EabUkAlPY7WmRe7cHD5 2Pfv2w8a20xzC7Dr7QXRqM 	Bullet For My Valentine - Hand Of Blood 		bo NFS
0V6EabUkAlPY7WmRe7cHD5 0nmQIMXWTXfhgOBdNzhGOs	Avenged 				NFS
0V6EabUkAlPY7WmRe7cHD5 0Zy4ncr8h1jd7Nzr9946fD	Killing Joke      		NFS
0V6EabUkAlPY7WmRe7cHD5 7iWiAD5LLKyiox2grgfmUT	Bullet For My Valentin	NFS
0V6EabUkAlPY7WmRe7cHD5 3TOqt5oJwL9BE2NG9MEwDa	Disturbed             	NFS
0V6EabUkAlPY7WmRe7cHD5 6Wr3hh341P84m3EI8qdn9O	Rise Against          	NFS
54HHVAXAn6r1Xh37982vbP 6eUKZXaKkcviH0Ku9w2n3V	Ed Sheeran           	Filmowe 	
54HHVAXAn6r1Xh37982vbP 0YC192cP3KPCRWx8zr8MfZ	Hans Zimmer           	Filmowe
54HHVAXAn6r1Xh37982vbP 07vycW8ICLf5hKb22PFWXw	Marcin Przybyłowicz   	Filmowe
3R0V8YOD1GJ4rY9RZYB4iD 2wPOgnQ6eW3X73uIJZ4YFE	Faun                  	on playlists: {'3R0V8YOD1GJ4rY9RZYB4iD': 'Eluveitie             ', '7lkL0wHWwIOzt0lvtVUYF3': 'Specyficzne -B        '}
0g6fQStwwSSxScrgrsvIF8 7slfeZO9LsJbWgpkIoXBUJ	Ricky Martin          	on playlists: {'3wtt2zgrBTOO9iRlWYwvFn': 'Nie AR                ', '0g6fQStwwSSxScrgrsvIF8': 'Nie AR scalona        '}
0g6fQStwwSSxScrgrsvIF8 53XhwfbYqKCa1cC15pYq2q	Imagine Dragons       	on playlists: {'3wtt2zgrBTOO9iRlWYwvFn': 'Nie AR                ', '0g6fQStwwSSxScrgrsvIF8': 'Nie AR scalona        '}
0g6fQStwwSSxScrgrsvIF8 0EmeFodog0BfCgMzAIvKQp	Shakira               	on playlists: {'3wtt2zgrBTOO9iRlWYwvFn': 'Nie AR                ', '0g6fQStwwSSxScrgrsvIF8': 'Nie AR scalona        '}
0g6fQStwwSSxScrgrsvIF8 6tbjWDEIzxoDsBA1FuhfPW	Madonna               	on playlists: {'3wtt2zgrBTOO9iRlWYwvFn': 'Nie AR                ', '0g6fQStwwSSxScrgrsvIF8': 'Nie AR scalona        '}
0g6fQStwwSSxScrgrsvIF8 5EvFsr3kj42KNv97ZEnqij	Shaggy                	on playlists: {'3wtt2zgrBTOO9iRlWYwvFn': 'Nie AR                ', '0g6fQStwwSSxScrgrsvIF8': 'Nie AR scalona        '}
0g6fQStwwSSxScrgrsvIF8 46lnlnlU0dXTDpoAUmH6Qx	Lou Bega              	on playlists: {'3wtt2zgrBTOO9iRlWYwvFn': 'Nie AR                ', '0g6fQStwwSSxScrgrsvIF8': 'Nie AR scalona        '}
1CPCV4DhLsyFsv6MU1mQXM 7t0rwkOPGlDPEhaOcVtOt9	The Cranberries       	on playlists: {'3wtt2zgrBTOO9iRlWYwvFn': 'Nie AR                ', '1CPCV4DhLsyFsv6MU1mQXM': 'Nie AR gamma          '}
1CPCV4DhLsyFsv6MU1mQXM 0SD4eZCN4Kr0wQk56hCdh2	Bonnie Tyler          	on playlists: {'3wtt2zgrBTOO9iRlWYwvFn': 'Nie AR                ', '1CPCV4DhLsyFsv6MU1mQXM': 'Nie AR gamma          '}
1CPCV4DhLsyFsv6MU1mQXM 4KWTAlx2RvbpseOGMEmROg	R.E.M.                	on playlists: {'3wtt2zgrBTOO9iRlWYwvFn': 'Nie AR                ', '1CPCV4DhLsyFsv6MU1mQXM': 'Nie AR gamma          '}
1CPCV4DhLsyFsv6MU1mQXM 22bE4uQ6baNwSHPVcDxLCe	The Rolling Stones    	on playlists: {'3wtt2zgrBTOO9iRlWYwvFn': 'Nie AR                ', '1CPCV4DhLsyFsv6MU1mQXM': 'Nie AR gamma          '}
1CPCV4DhLsyFsv6MU1mQXM 4lxfqrEsLX6N1N4OCSkILp	Phil Collins          	on playlists: {'3wtt2zgrBTOO9iRlWYwvFn': 'Nie AR                ', '1CPCV4DhLsyFsv6MU1mQXM': 'Nie AR gamma          '}
1CPCV4DhLsyFsv6MU1mQXM 3PhoLpVuITZKcymswpck5b	Elton John            	on playlists: {'3wtt2zgrBTOO9iRlWYwvFn': 'Nie AR                ', '1CPCV4DhLsyFsv6MU1mQXM': 'Nie AR gamma          '}
1CPCV4DhLsyFsv6MU1mQXM 0HCkZtmMJLvUyWT5m0ojBX	Peter Gundry          	on playlists: {'7lkL0wHWwIOzt0lvtVUYF3': 'Specyficzne -B 		', '1CPCV4DhLsyFsv6MU1mQXM': 'Nie AR gamma          '}
3wtt2zgrBTOO9iRlWYwvFn 562Od3CffWedyz2BbeYWVn	Mike Oldfield         	on playlists: {'7rcyD4pGmhjYVMrUn8SGqk': 'Rock                  ', '3wtt2zgrBTOO9iRlWYwvFn': 'Nie AR                '}
